poncecarrie,"The Impostor Queen (The Impostor Queen, #1)-Sarah Fine",0,5,2017-02-12,REVIEWED
holly74,"Firefight (The Reckoners, #2)-Brandon Sanderson",0,4,2015-03-31,REVIEWED
reynoldstroy,The Rest of Us Just Live Here-Patrick Ness,1,4,2015-08-01,REVIEWED
janice71,"Scarlet (The Lunar Chronicles, #2)-Marissa Meyer",1,3,2012-08-06,REVIEWED
richardreid,"Firelight (Darkest London, #1)-Kristen Callihan",0,2,2016-04-19,REVIEWED
brucemckee,"The Keeper (Vega Jane, #2)-David Baldacci",0,3,2016-08-24,REVIEWED
edwardstevens,Hero-Mike Lupica,0,3,2011-05-12,REVIEWED
edwardssean,"A Fractured Light (A Beautiful Dark, #2)-Jocelyn Davies",0,4,2012-10-06,REVIEWED
quinnrobyn,"The Wise Man's Fear (The Kingkiller Chronicle, #2)-Patrick Rothfuss",0,5,2014-07-30,REVIEWED
taylormcbride,Timothy (Timothy #1)-Mark Tufo,0,4,2012-10-01,REVIEWED
charleskramer,Best Served Cold-Joe Abercrombie,0,5,2013-07-19,REVIEWED
tammyhaynes,"Captive Prince: Volume Two (Captive Prince, #2)-C.S. Pacat",0,5,2013-02-24,REVIEWED
jacquelineadams,"The Journal of Curious Letters (The 13th Reality, #1)-James Dashner",0,4,2009-06-18,REVIEWED
collinsisaac,Claiming His Mate (Rogue Alpha #1)-Lissa Ford,6,4,2015-02-11,REVIEWED
donna32,"The Wyrmling Horde (Runelords, #7)-David Farland",0,5,2015-06-13,REVIEWED
victoriataylor,"Tails, You Lose (Witch City Mystery, #2)-Carol J. Perry",0,5,2016-09-26,REVIEWED
lisamoses,"How to Train Your Dragon (How to Train Your Dragon, #1)-Cressida Cowell",0,5,2008-09-23,REVIEWED
zhangsharon,"Glitches (The Lunar Chronicles, #0.5)-Marissa Meyer",0,4,2013-08-18,REVIEWED
kimjustin,"Lover Awakened (Black Dagger Brotherhood, #3)-J.R. Ward",0,4,2009-04-16,REVIEWED
meghanwang,"City of Stairs (The Divine Cities, #1)-Robert Jackson Bennett",0,4,2014-09-17,REVIEWED
lfuller,"Dark Innocence (Dark, #1.5)-Madeline Pryce",0,4,2014-07-31,REVIEWED
ryanweber,Irish Fairy Tales-Joseph Jacobs,1,4,2014-06-24,REVIEWED
bobrien,"Hammered (The Iron Druid Chronicles, #3)-Kevin Hearne",0,4,2011-08-24,REVIEWED
mwang,"Ever After (The Hollows, #11)-Kim Harrison",2,2,2013-07-31,REVIEWED
baileyelizabeth,Releasing Chaos (Sumeria's Sons #6)-Lexi Ander,0,4,2017-08-20,REVIEWED
gordonnatalie,Jonathan Strange & Mr Norrell-Susanna Clarke,0,5,2012-06-12,REVIEWED
nterry,"A Darker Shade of Magic (Shades of Magic, #1)-V.E. Schwab",0,5,2017-06-03,REVIEWED
edwardseduardo,The Night Circus-Erin Morgenstern,0,5,2012-07-31,REVIEWED
lawrenceshawn,"Maledicte (Antyre, #1)-Lane Robins",2,4,2009-04-25,REVIEWED
lawrenceshawn,The Chronicles of Narnia-C.S. Lewis,3,3,2008-05-30,REVIEWED
bradadams,"Hummingbird (Shadow Weavers, #1)-Kay Causer",3,4,2014-08-02,REVIEWED
davidallen,"Réunis dans la tombe (Chasseuse de la nuit, #5)-Jeaniene Frost",0,5,2017-04-17,REVIEWED
davidangela,The Prey of Gods-Nicky Drayden,0,2,2017-06-30,REVIEWED
jaredburke,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)-J.K. Rowling",0,4,2015-07-02,REVIEWED
ericksondenise,"Half World (Half World, #1)-Hiromi Goto",0,3,2014-12-23,REVIEWED
ericksondenise,"A Wizard of Earthsea (Earthsea Cycle, #1)-Ursula K. Le Guin",1,3,2014-03-04,REVIEWED
garrisonshari,Star Cursed (The Cahill Witch Chronicles #2)-Jessica Spotswood,1,5,2013-07-04,REVIEWED
huertabeth,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)-Laini Taylor",0,4,2012-04-13,REVIEWED
vincentsummer,"City of Bones (The Mortal Instruments, #1)-Cassandra Clare",0,3,2014-05-22,REVIEWED
mjames,"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)-Michael Scott",1,5,2012-08-29,REVIEWED
gerald45,Blossom and the Beast-R.S. McCoy,1,5,2016-05-17,REVIEWED
andrewgill,A Bit of Bite-Cynthia Eden,0,4,2014-04-19,REVIEWED
andrewgill,"Key to Conspiracy (Gillian Key, ParaDoc #2)-Talia Gryphon",0,3,2008-05-11,REVIEWED
nathaniel19,"Dawn of the Arcana, Vol. 01 (Dawn of the Arcana, #1)-Rei Toma",0,5,2014-08-14,REVIEWED
mcmahonjames,"The Melancholy of Haruhi Suzumiya (Haruhi Suzumiya, #1)-Nagaru Tanigawa",0,3,2014-08-31,REVIEWED
michelle86,"Tainted (The Blood Lily Chronicles, #1)-Julie Kenner",0,2,2012-06-19,REVIEWED
kimrachel,"Three Dark Crowns (Three Dark Crowns, #1)-Kendare Blake",2,5,2017-01-31,REVIEWED
simonerin,"Cold Steel (Spiritwalker, #3)-Kate Elliott",0,4,2015-03-09,REVIEWED
isabella60,"Dragon Fall (Dragon Falls, #1)-Katie MacAlister",0,4,2015-07-07,REVIEWED
thomasmiguel,"The Keep (Adversary Cycle, #1)-F. Paul Wilson",0,3,2014-04-30,REVIEWED
meghanmorris,"Traitor's Sun (Darkover, #26)-Marion Zimmer Bradley",0,4,2017-10-17,REVIEWED
stonewhitney,"Dead to the World (Sookie Stackhouse, #4)-Charlaine Harris",0,5,2008-11-17,REVIEWED
shawngreene,"Crown of Betrayal (Wicked Kingdoms, #2)-Graceley Knox",2,4,2017-06-14,REVIEWED
zcoleman,Dark Touch-Aimee L. Salter,11,4,2016-02-23,REVIEWED
brownkyle,"Shadow and Bone (The Grisha, #1)-Leigh Bardugo",0,4,2015-06-01,REVIEWED
toddthomas,The Shadow Year-Jeffrey Ford,0,3,2009-01-02,REVIEWED
toddthomas,Powers of Detection: Stories of Mystery & Fantasy-Dana Stabenow,0,3,2007-07-17,REVIEWED
theodore12,"Dragonvein (Dragonvein, #2)-Brian D. Anderson",1,3,2017-09-25,REVIEWED
xreynolds,"The Goddess Test (Goddess Test, #1)-Aimee Carter",0,3,2013-01-06,REVIEWED
matthewsims,"Thick & Thin (THIRDS, #8)-Charlie Cochet",5,5,2017-01-30,REVIEWED
brenda31,"Rebel Spring (Falling Kingdoms, #2)-Morgan Rhodes",0,4,2016-02-10,REVIEWED
gvaughan,The Stars My Destination-Alfred Bester,0,4,2014-01-06,REVIEWED
alvarezashley,"Red Queen (Red Queen, #1)-Victoria Aveyard",0,5,2016-04-12,REVIEWED
zkrause,"Reaper's Gale (Malazan Book of the Fallen, #7)-Steven Erikson",0,4,2013-11-17,REVIEWED
scottlee,Dangerous Angels: Five Weetzie Bat Books-Francesca Lia Block,0,4,2014-05-11,REVIEWED
carolyn09,"Bait (Order of the Spirit Realm, #1)-Kasi Blake",0,4,2013-06-25,REVIEWED
sgamble,"The Sheol (The Wanderer Trilogy, #1)-Mia Hoddell",0,2,2012-10-07,REVIEWED
sgamble,Velveteen-Daniel Marks,1,3,2012-07-03,REVIEWED
lori62,"Hounded (The Iron Druid Chronicles, #1)-Kevin Hearne",0,3,2012-01-30,REVIEWED
spencer49,Le Due Torri-J.R.R. Tolkien,0,2,2014-09-15,REVIEWED
emilymiller,"The Goose Girl (The Books of Bayern, #1)-Shannon Hale",0,5,2008-12-13,REVIEWED
escobarkenneth,"Scarlet (The Lunar Chronicles, #2)-Marissa Meyer",0,4,2015-02-15,REVIEWED
keith95,Sunshine-Robin McKinley,0,5,2008-07-23,REVIEWED
christinamclaughlin,"Tangled Tides (The Sea Monster Memoirs, #1)-Karen Amanda Hooper",0,3,2017-05-09,REVIEWED
joycepaul,"Hollow City (Miss Peregrine’s Peculiar Children, #2)-Ransom Riggs",0,4,2013-09-10,REVIEWED
patriciamathews,"Blood Song (Raven's Shadow, #1)-Anthony  Ryan",1,5,2014-05-18,REVIEWED
trevinowillie,The Ocean at the End of the Lane-Neil Gaiman,1,4,2013-12-03,REVIEWED
dbates,The Night Circus-Erin Morgenstern,9,4,2014-02-20,REVIEWED
sallygriffith,"City of Bones (The Mortal Instruments, #1)-Cassandra Clare",0,5,2012-09-09,REVIEWED
rose80,The Fall of the Governor: Part One (The Walking Dead #3)-Robert Kirkman,0,4,2013-10-10,REVIEWED
yyates,"Spectyr (Book of the Order, #2)-Philippa Ballantine",0,4,2013-03-24,REVIEWED
phillipmartin,Unleash The Darkness: (Eternally Mated Novel)-Valerie Twombly,2,5,2017-06-11,REVIEWED
davisdestiny,"Downfall (Cal Leandros, #9)-Rob Thurman",0,5,2015-09-27,REVIEWED
davisdestiny,"You Suck (A Love Story, #2)-Christopher Moore",0,4,2012-05-02,REVIEWED
davidsonjeffrey,"The Last Olympian (Percy Jackson and the Olympians, #5)-Rick Riordan",1,4,2012-07-07,REVIEWED
cmorales,"Burning Bright (Ivy Granger, #3)-E.J. Stevens",0,5,2015-05-17,REVIEWED
randallschmidt,"Demonglass (Hex Hall, #2)-Rachel Hawkins",0,3,2015-04-11,REVIEWED
nielsentammy,"Shiver (The Wolves of Mercy Falls, #1)-Maggie Stiefvater",0,1,2010-07-22,REVIEWED
yterry,The Martian-Andy Weir,0,4,2016-02-23,REVIEWED
mikereyes,"The Hunted (The Secret Enemy Saga, #2)-Virginia McKevitt",1,5,2014-06-30,REVIEWED
fmarshall,"The Way of Kings (The Stormlight Archive, #1)-Brandon Sanderson",0,5,2012-12-22,REVIEWED
sue77,"Heir of Fire (Throne of Glass, #3)-Sarah J. Maas",0,5,2014-02-13,REVIEWED
codygilbert,"The Banshee's Embrace (The Banshee's Embrace Trilogy, #1)-Victoria Richards",0,3,2014-08-02,REVIEWED
amanda59,"Eidolon (Wraith Kings, #2)-Grace Draven",2,3,2016-07-28,REVIEWED
ericswanson,Animal-Nikki Rae,63,5,2014-07-14,REVIEWED
wisejohn,Norse Mythology-Neil Gaiman,7,4,2017-02-08,REVIEWED
josephrobbins,"The Scar (New Crobuzon, #2)-China Mieville",1,5,2011-06-21,REVIEWED
dmack,"The Mating  (Law of the Lycans, #2)-Nicky Charles",0,3,2013-03-25,REVIEWED
randallwagner,"Shield of Winter (Psy-Changeling, #13)-Nalini Singh",2,4,2013-12-16,REVIEWED
adamparsons,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)-Sarah J. Maas",2,4,2015-01-17,REVIEWED
ryanhannah,"Secret Energy (Shifters, #2)-Chris T. Kat",1,2,2014-08-26,REVIEWED
ryanhannah,Tempting Lucifer-Kristina Schwartz,4,3,2013-08-28,REVIEWED
scottlynch,The Hobbit-J.R.R. Tolkien,0,5,2012-10-09,REVIEWED
carolinebates,"Flame in the Mist (Flame in the Mist, #1)-Renee Ahdieh",2,3,2017-01-29,REVIEWED
lisaboyd,"Crooked Kingdom (Six of Crows, #2)-Leigh Bardugo",0,5,2016-10-04,REVIEWED
lisaboyd,"Six of Crows (Six of Crows, #1)-Leigh Bardugo",0,5,2016-09-12,REVIEWED
kerrycarter,Mindscape-Andrea Hairston,0,5,2016-08-05,REVIEWED
grahamsarah,"Seducing Destiny (The Fae Chronicles, #4)-Amelia Hutchins",0,5,2014-06-22,REVIEWED
allenhoward,"Feverborn (Fever, #8)-Karen Marie Moning",0,4,2016-01-29,REVIEWED
elijahgordon,"How to Tame a Beast in Seven Days (The Embraced, #1)-Kerrelyn Sparks",0,4,2017-01-08,REVIEWED
norrisjim,"A Dance with Dragons (A Song of Ice and Fire, #5)-George R.R. Martin",0,4,2013-03-08,REVIEWED
mindy61,Cloaked-Alex Flinn,0,3,2012-02-24,REVIEWED
duffytodd,"Cruel Crown (Red Queen, #0.1-#0.2)-Victoria Aveyard",0,3,2017-02-22,REVIEWED
martinezphillip,"The Missing (The FBI Psychics, #1)-Shiloh Walker",2,4,2014-03-18,REVIEWED
kellysalas,The Martian-Andy Weir,1,5,2016-05-30,REVIEWED
deannabennett,"Book of Shadows (Sweep, #1)-Cate Tiernan",0,5,2014-03-16,REVIEWED
gilbertmike,"The Devil and Miss Prym (On the Seventh Day, #3)-Paulo Coelho",0,4,2009-08-29,REVIEWED
brockbrittany,"A Knight of the Seven Kingdoms (The Tales of Dunk and Egg, #1-3)-George R.R. Martin",0,3,2015-12-22,REVIEWED
brockbrittany,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)-J.K. Rowling",0,5,2008-04-17,REVIEWED
mark36,"Guards! Guards! (Discworld, #8)-Terry Pratchett",0,4,2017-09-12,REVIEWED
oconnellsarah,The Night Circus-Erin Morgenstern,0,4,2011-11-30,REVIEWED
kmayer,"The Lost Prince (The Iron Fey: Call of the Forgotten, #1)-Julie Kagawa",1,4,2013-01-02,REVIEWED
victoriasnyder,"Cinder (The Lunar Chronicles, #1)-Marissa Meyer",1,5,2012-08-30,REVIEWED
cindymcdonald,"Rapture (Fallen, #4)-Lauren Kate",0,5,2012-11-13,REVIEWED
meganthomas,"Turned by a Tiger (Eternal Mates, #12)-Felicity Heaton",1,4,2017-06-24,REVIEWED
meganthomas,"Knights of Stone: Lachlan (Highland Gargoyles, #2)-Lisa Carlisle",0,4,2016-01-23,REVIEWED
meganthomas,"3013: Chaos (3013, #8)-Laurie Roma",2,5,2015-06-02,REVIEWED
jacksoncarolyn,"The Vampire's Mail Order Bride (Nocturne Falls, #1)-Kristen Painter",0,4,2017-10-27,REVIEWED
tinamiller,The Snow Child-Eowyn Ivey,0,3,2012-12-07,REVIEWED
nspence,"The Mark of Noba (The Sterling Wayfairer, #1)-G.L. Tomas",0,3,2016-02-23,REVIEWED
emilymcdowell,Dein göttliches Herz entflammt (Dein göttliches Herz #1)-Kelly Keaton,1,4,2013-05-16,REVIEWED
emilymcdowell,In dieser ganz besonderen Nacht-Nicole C. Vosseler,1,4,2013-02-19,REVIEWED
robinsonjulie,"Bitter Spirits (Roaring Twenties, #1)-Jenn Bennett",0,5,2014-05-07,REVIEWED
isaacedwards,Bound to Shadows (Riley Jenson Guardian #8)-Keri Arthur,0,4,2012-12-04,REVIEWED
savannah82,Crossings-Sarah Blake Johnson,1,5,2017-01-08,REVIEWED
savannah82,"Mitosis (The Reckoners, #1.5)-Brandon Sanderson",0,4,2013-12-02,REVIEWED
joellogan,"The Screaming Staircase (Lockwood & Co., #1)-Jonathan Stroud",0,5,2017-01-02,REVIEWED
rhodeslaurie,Arcadia Falls-Kai Meyer,0,5,2014-03-02,REVIEWED
rhodeslaurie,Snakeroot (Nightshade Legacy #1; Nightshade World #7)-Andrea Cremer,0,4,2013-02-25,REVIEWED
thomasanderson,The Telling (Hainish Cycle #8)-Ursula K. Le Guin,0,2,2007-06-04,REVIEWED
vanessageorge,"Scarlet Night (Behind The Vail, #1)-Megan J. Parker",2,5,2013-06-15,REVIEWED
carolinerobbins,After the King: Stories in Honor of J.R.R. Tolkien-Martin H. Greenberg,0,3,2010-08-22,REVIEWED
erika68,"In the Realm of the Wolf (The Drenai Saga, #5)-David Gemmell",4,5,2012-07-18,REVIEWED
watsongregory,"Boneshaker (The Clockwork Century, #1)-Cherie Priest",0,4,2013-10-05,REVIEWED
andrebailey,Nightwise-R.S. Belcher,0,5,2017-09-20,REVIEWED
simonangela,"Walking Dead Girl (Vampireland, #1)-Jessica Roscoe",0,5,2013-04-27,REVIEWED
joshua41,"Ignite Me (Shatter Me, #3)-Tahereh Mafi",0,5,2013-01-03,REVIEWED
cookjacob,"Crooked Kingdom (Six of Crows, #2)-Leigh Bardugo",4,5,2016-05-09,REVIEWED
anoble,"Updraft (Bone Universe, #1)-Fran Wilde",2,3,2015-12-13,REVIEWED
rogerdavidson,"Bunny and the Bear (Furry United Coalition, #1)-Eve Langlais",0,5,2016-07-18,REVIEWED
rogerdavidson,"Black River Pack Series Box Set (Black River Pack, #1-3)-Rochelle Paige",0,5,2016-02-11,REVIEWED
rogerdavidson,"Hell's Kitty (Welcome to Hell, #4)-Eve Langlais",0,5,2014-06-04,REVIEWED
tylerstrickland,When Autumn Leaves-Amy S. Foster,0,3,2013-08-21,REVIEWED
omar33,The Mad Scientist's Guide to World Domination: Original Short Fiction for the Modern Evil Genius-John Joseph Adams,5,3,2013-09-17,REVIEWED
ann26,"Swan and the Bear (Furry United Coalition, #2)-Eve Langlais",3,3,2015-04-06,REVIEWED
alexanderlewis,"Darkfever (Fever, #1)-Karen Marie Moning",3,4,2015-07-12,REVIEWED
washingtonguy,"Incantesimo (Hex Hall, #1)-Rachel Hawkins",0,4,2013-07-15,REVIEWED
lindseylee,Uprooted-Naomi Novik,0,4,2016-09-26,REVIEWED
lindseylee,"Changeless (Parasol Protectorate, #2)-Gail Carriger",0,4,2015-04-08,REVIEWED
qrice,"The Hallowed Ones (The Hallowed Ones, #1)-Laura Bickle",1,5,2013-09-01,REVIEWED
forbesbrittany,"Claws and Effect (Diaries of an Urban Panther, #2)-Amanda Arista",0,5,2013-03-03,REVIEWED
guerreroashley,"The Diviners (The Diviners, #1)-Libba Bray",0,3,2015-04-14,REVIEWED
lauracardenas,The Circus of Dr. Lao-Charles G. Finney,0,2,2009-06-08,REVIEWED
evanstony,The Wild Orchid: A Retelling of The Ballad of Mulan-Cameron Dokey,27,2,2008-07-18,REVIEWED
brewertiffany,"On a Witch and a Prayer (Wicked Witches of the Midwest Shorts, #3)-Amanda M. Lee",0,5,2015-11-07,REVIEWED
brenda59,"Island of Fog (Island of Fog, #1)-Keith  Robinson",1,5,2015-08-05,REVIEWED
phillipscolin,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)-J.K. Rowling",0,4,2016-08-24,REVIEWED
pacejonathan,NOS4A2-Joe Hill,0,5,2013-05-02,REVIEWED
birdbrandon,"Lover Revealed (Black Dagger Brotherhood, #4)-J.R. Ward",0,3,2013-04-07,REVIEWED
jamesglenn,"Fairy Cube, Vol. 01-Kaori Yuki",0,2,2016-03-15,REVIEWED
jamesglenn,"The Cormorant (Miriam Black, #3)-Chuck Wendig",0,5,2014-07-26,REVIEWED
annamonroe,"The Eve of the Maelstrom (Dragonlance: Dragons of a New Age, #3)-Jean Rabe",1,4,2012-08-07,REVIEWED
kempsuzanne,"Leave the Window Open (The Archived, #2.5)-Victoria Schwab",0,5,2015-01-07,REVIEWED
annacollins,"Master of Crows (Master of Crows, #1)-Grace Draven",88,5,2011-08-30,REVIEWED
vlynch,The Tale of Despereaux-Kate DiCamillo,0,4,2013-01-23,REVIEWED
nelsonlaura,"Unravel Me (Shatter Me, #2)-Tahereh Mafi",1,3,2013-03-26,REVIEWED
dianamcfarland,"Sugar and Spice: (Karma Cafe, #1)-Tawny Weber",0,4,2014-05-17,REVIEWED
